number of inputs, runtime (in ms)
177501, 349.930999999998
178001, 329.19100000000157
178501, 320.2180000000041
179001, 325.6110000000021
179501, 329.07699999999807
180001, 325.7740000000027
180501, 330.8540000000022
181001, 329.2680000000061
181501, 327.21499999999537
182001, 333.01199999999653
182501, 327.39099999999866
183001, 352.685000000001
183501, 368.2550000000049
184001, 400.82000000001017
184501, 397.1470000000039
185001, 398.16900000001
185501, 349.2859999999922
186001, 342.46499999999
186501, 339.17900000000145
187001, 345.16599999999187
187501, 341.4360000000016
188001, 383.12000000000523
188501, 360.7810000000029
189001, 352.53500000000315
189501, 347.0580000000041
190001, 347.00700000000495
190501, 351.0120000000114
191001, 351.4900000000125
191501, 373.1200000000001
192001, 394.47699999999486
192501, 368.220000000008
193001, 388.8889999999918
193501, 389.01200000000813
194001, 354.4289999999961
194501, 375.92300000000023
195001, 397.92500000000075
195501, 338.65799999999524
196001, 344.96500000000196
196501, 361.23000000000616
197001, 363.26700000000756
197501, 369.07100000000526
198001, 366.24100000000226
198501, 358.65900000000295
199001, 370.57800000000896
199501, 370.3119999999984
200001, 363.38999999999544
200501, 384.79300000000194
201001, 362.3370000000108
201501, 371.7590000000115
202001, 358.7190000000078
202501, 373.8249999999965
203001, 414.85099999999875
203501, 368.68499999999926
204001, 370.81399999999576
204501, 368.79399999999407
205001, 370.4920000000129
205501, 371.9329999999985
206001, 377.84999999999513
206501, 380.06200000000945
207001, 374.83500000000447
207501, 371.7979999999983
208001, 372.9980000000097
208501, 380.3479999999979
209001, 404.28500000000156
209501, 399.5429999999942
210001, 353.8389999999936
210501, 382.2669999999988
211001, 386.3160000000079
211501, 412.2759999999914
212001, 389.66299999999876
212501, 408.6449999999928
213001, 391.2600000000026
213501, 413.39999999999577
214001, 391.8730000000039
214501, 412.38900000000456
215001, 415.29300000000546
215501, 393.68899999999485
216001, 390.5890000000056
216501, 408.9400000000012
217001, 413.2330000000053
217501, 415.9619999999933
218001, 445.8099999999945
218501, 407.8319999999991
219001, 425.9320000000031
219501, 419.47700000000054
220001, 401.36300000000347
220501, 405.03400000000056
