number of inputs, runtime(in ms)
332001, 43.307
332501, 47.566
333001, 48.117
333501, 46.837
334001, 46.596
334501, 47.906
335001, 53.702
335501, 49.945
336001, 49.334
336501, 51.16
337001, 48.767
337501, 43.995
338001, 46.301
338501, 45.942
339001, 47.409
339501, 46.839
340001, 61.963
340501, 45.797
341001, 46.056
341501, 46.959
342001, 47.681
342501, 44.296
343001, 54.911
343501, 45.381
344001, 46.472
344501, 47.6
345001, 48.372
345501, 47.499
346001, 45.88
346501, 71.694
347001, 47.398
347501, 46.203
348001, 88.943
348501, 47.097
349001, 47.627
349501, 47.596
350001, 48.136
350501, 49.234
351001, 52.111
351501, 44.541
352001, 48.989
352501, 48.425
353001, 51.243
353501, 53.242
354001, 48.049
354501, 49.692
355001, 48.38
355501, 51.019
356001, 51.023
356501, 50.631
357001, 50.281
357501, 49.321
358001, 48.757
358501, 48.735
359001, 49.908
359501, 50.564
360001, 50.126
360501, 51.345
361001, 50.246
361501, 50.207
362001, 50.454
362501, 48.88
363001, 50.451
363501, 50.901
364001, 49.579
364501, 112.696
365001, 49.331
365501, 50.743
366001, 48.575
366501, 47.909
367001, 49.565
367501, 51.423
368001, 52.1
368501, 52.116
369001, 52.732
369501, 53.227
370001, 53.686
370501, 49.89
371001, 50.724
371501, 49.996
372001, 50.824
372501, 50.224
373001, 52.062
373501, 51.602
374001, 51.748
374501, 53.345
375001, 48.12
375501, 53.577
376001, 54.616
376501, 52.701
377001, 51.79
377501, 51.488
378001, 52.059
378501, 53.737
379001, 69.127
379501, 51.022
380001, 50.842
380501, 49.831
381001, 55.706
381501, 66.565
382001, 81.211
382501, 66.658
383001, 54.026
383501, 53.162
384001, 54.759
384501, 52.101
385001, 54.329
385501, 53.276
386001, 96.306
386501, 52.999
387001, 53.323
387501, 53.172
388001, 50.691
388501, 52.673
389001, 48.543
389501, 52.722
390001, 53.795
390501, 52.883
391001, 54.442
391501, 53.105
392001, 54.634
392501, 128.774
393001, 53.777
393501, 55.045
394001, 52.214
394501, 55.573
395001, 55.535
395501, 52.147
396001, 53.186
396501, 52.204
397001, 54.723
397501, 52.369
398001, 53.625
398501, 53.895
399001, 53.575
399501, 53.904
400001, 53.533
400501, 52.816
401001, 54.892
401501, 52.75
402001, 54.096
402501, 54.509
403001, 53.411
403501, 54.546
404001, 55.258
404501, 51.282
405001, 52.282
405501, 53.792
406001, 58.115
406501, 57.77
407001, 63.24
407501, 79.051
408001, 56.956
408501, 55.417
409001, 56.909
409501, 54.568
410001, 54.998
410501, 57.014
411001, 55.652
411501, 54.542
412001, 55.947
412501, 57.971
413001, 56.424
413501, 60.22
414001, 54.477
414501, 57.369
415001, 54.946
415501, 53.272
416001, 73.287
416501, 64.092
417001, 55.764
417501, 54.03
418001, 53.835
418501, 57.765
419001, 56.786
419501, 55.952
420001, 59.05
420501, 55.346
421001, 61.257
421501, 55.686
422001, 59.825
422501, 59.107
423001, 70.62
423501, 72.806
424001, 59.423
424501, 56.833
425001, 59
425501, 58.187
426001, 60.711
426501, 66.247
427001, 65.332
427501, 52.327
428001, 59.093
428501, 58.272
429001, 59.052
429501, 59.929
430001, 58.02
430501, 59.7
431001, 64.13
431501, 59.517
432001, 60.826
432501, 59.069
433001, 60.728
433501, 60.563
434001, 58.015
434501, 58.365
435001, 59.7
435501, 60.182
436001, 60.092
436501, 60.104
437001, 60.405
437501, 58.309
438001, 58.232
438501, 62.812
439001, 60.598
439501, 59.53
440001, 61.291
440501, 60.493
441001, 63.737
441501, 63.029
442001, 58.151
442501, 63.626
443001, 63.12
443501, 62.93
444001, 60.075
444501, 65.107
445001, 69.708
445501, 61.115
446001, 63.634
446501, 61.001
447001, 61.248
447501, 63.377
448001, 61.463
448501, 61.669
449001, 60.855
449501, 60.866
450001, 62.097
450501, 61.904
451001, 61.286
451501, 60.6
452001, 62.711
452501, 59.7
453001, 63.158
453501, 63.69
454001, 62.611
454501, 62.068
455001, 63.947
455501, 66.718
456001, 67.916
456501, 64.702
457001, 74.217
457501, 97.983
458001, 83.893
458501, 62.764
459001, 65.233
459501, 61.83
460001, 62.076
460501, 64.163
461001, 63.072
461501, 60.495
462001, 64.513
462501, 62.547
463001, 61.646
463501, 63.447
464001, 63.253
464501, 63.831
465001, 61.578
465501, 63.13
466001, 62.906
466501, 64.189
467001, 64.312
467501, 63.847
468001, 65.879
468501, 63.468
469001, 63.422
469501, 62.54
470001, 64.59
470501, 67.172
471001, 63.816
471501, 79.285
472001, 97.973
472501, 64.766
473001, 64.348
473501, 65.32
474001, 65.319
474501, 61.175
475001, 85.565
475501, 101.419
476001, 87.861
476501, 62.576
477001, 63.973
477501, 64.716
478001, 65.507
478501, 70.319
479001, 64.973
479501, 64.585
480001, 64.884
480501, 120.136
481001, 64.498
481501, 67.039
482001, 65.775
482501, 64.659
483001, 64.921
483501, 95.016
484001, 66.075
484501, 67.245
485001, 71.868
485501, 66.53
486001, 68.839
486501, 64.406
487001, 66.083
487501, 66.262
488001, 63.953
488501, 66.565
489001, 66.391
489501, 66.004
490001, 68.686
490501, 65.813
491001, 67.534
491501, 69.437
492001, 65.504
492501, 94.546
493001, 65.686
493501, 74.134
494001, 66.84
494501, 66.632
495001, 67.872
495501, 69.502
496001, 69.2
496501, 68.768
497001, 65.988
497501, 66.149
498001, 64.85
498501, 67.064
499001, 67.689
499501, 68.066
